time,algo,unpaid_total_amount,unpaid_algo_amount,profitability,balance
2021-03-30 09:30:00,20,0.00000513,0.00000513,0.00009216000000000001,
2021-03-30 09:25:00,20,0.00000481,0.00000481,0.00007776,
2021-03-30 09:20:00,20,0.00000454,0.00000454,0.00009504000000000001,
2021-03-30 09:15:00,20,0.00000421,0.00000421,0.00008928000000000001,
2021-03-30 09:10:00,20,0.00000390,0.00000390,0.00006048,
2021-03-30 09:05:00,20,0.00000369,0.00000369,0.00008639999999999999,
2021-03-30 09:00:00,20,0.00000339,0.00000339,0.00008064000000000001,
2021-03-30 08:55:00,20,0.00000311,0.00000311,0.000072,
2021-03-30 08:50:00,20,0.00000286,0.00000286,0.00008639999999999999,
2021-03-30 08:45:00,20,0.00000256,0.00000256,0.00013536,
2021-03-30 08:40:00,20,0.00000209,0.00000209,0.00007776,
2021-03-30 08:35:00,20,0.00000182,0.00000182,0.00009504000000000001,
2021-03-30 08:30:00,20,0.00000149,0.00000149,0.00008639999999999999,
2021-03-30 08:25:00,20,0.00000119,0.00000119,0.00006336,
2021-03-30 08:20:00,20,0.00000097,0.00000097,0.00008064000000000001,
2021-03-30 08:15:00,20,0.00000069,0.00000069,0.000057600000000000004,
2021-03-30 08:10:00,20,0.00000049,0.00000049,0.00006048,
2021-03-30 08:05:00,20,0.00000028,0.00000028,0.000054720000000000005,
2021-03-30 08:00:00,20,0.00000009,0.00000009,0.00007488,
2021-03-30 07:59:59,20,0.00001207,0.00001207,0.000072,
2021-03-30 07:55:00,20,0.00001190,0.00001190,0.00009504000000000001,
2021-03-30 07:50:00,20,0.00001157,0.00001157,0.00011232,
2021-03-30 07:45:00,20,0.00001118,0.00001118,0.00008352,
2021-03-30 07:40:00,20,0.00001089,0.00001089,0.00007488000000000001,
2021-03-30 07:35:00,20,0.00001063,0.00001063,0.00007775999999999999,
2021-03-30 07:30:00,20,0.00001036,0.00001036,0.00007487999999999999,
2021-03-30 07:25:00,20,0.00001010,0.00001010,0.00006336000000000002,
2021-03-30 07:20:00,20,0.00000988,0.00000988,0.00007775999999999999,
2021-03-30 07:15:00,20,0.00000961,0.00000961,0.00008064000000000001,
2021-03-30 07:10:00,20,0.00000933,0.00000933,0.00006048000000000001,
2021-03-30 07:05:00,20,0.00000912,0.00000912,0.00006048000000000001,
2021-03-30 07:00:00,20,0.00000891,0.00000891,0.000072,
2021-03-30 06:55:00,20,0.00000866,0.00000866,0.000072,
2021-03-30 06:50:00,20,0.00000841,0.00000841,0.000072,
2021-03-30 06:45:00,20,0.00000816,0.00000816,0.00006912000000000002,
2021-03-30 06:40:00,20,0.00000792,0.00000792,0.00011232000000000001,
2021-03-30 06:35:00,20,0.00000753,0.00000753,0.000046080000000000006,
2021-03-30 06:30:00,20,0.00000737,0.00000737,0.00010656,
2021-03-30 06:25:00,20,0.00000700,0.00000700,0.00006048,
2021-03-30 06:20:00,20,0.00000679,0.00000679,0.00006912000000000002,
2021-03-30 06:15:00,20,0.00000655,0.00000655,0.000072,
2021-03-30 06:10:00,20,0.00000630,0.00000630,0.00008352,
2021-03-30 06:05:00,20,0.00000601,0.00000601,0.000051840000000000005,
2021-03-30 06:00:00,20,0.00000583,0.00000583,0.000054720000000000005,
2021-03-30 05:55:00,20,0.00000564,0.00000564,0.00004896,
2021-03-30 05:50:00,20,0.00000547,0.00000547,0.00009792,
2021-03-30 05:45:00,20,0.00000513,0.00000513,0.00008639999999999999,
2021-03-30 05:40:00,20,0.00000483,0.00000483,0.00007488,
2021-03-30 05:35:00,20,0.00000457,0.00000457,0.00006624,
2021-03-30 05:30:00,20,0.00000434,0.00000434,0.00006912000000000002,
2021-03-30 05:25:00,20,0.00000410,0.00000410,0.00007776,
2021-03-30 05:20:00,20,0.00000383,0.00000383,0.00008928,
2021-03-30 05:15:00,20,0.00000352,0.00000352,0.000054720000000000005,
2021-03-30 05:10:00,20,0.00000333,0.00000333,0.00006912000000000002,
